treatment_id,treatment_name,treatment_type,diagnosis_code,diagnosis_name,standard_cost,duration_minutes
1,Heart Bypass Type 3,Therapy,ICD-882,Diagnosis_E_1,652,45
2,Urine Test Type 1,Therapy,ICD-482,Diagnosis_C_2,1023,90
3,Echocardiogram Type 1,Diagnostic,ICD-716,Diagnosis_E_3,3045,60
4,MRI Scan Type 1,Consultation,ICD-240,Diagnosis_C_4,4146,60
5,Appendectomy Type 1,Emergency,ICD-627,Diagnosis_B_5,4304,45
6,Biopsy Type 2,Emergency,ICD-857,Diagnosis_C_6,2659,90
7,Cataract Surgery Type 3,Emergency,ICD-601,Diagnosis_E_7,2805,45
8,Endoscopy Type 1,Surgical,ICD-439,Diagnosis_A_8,3940,60
9,Occupational Therapy Type 3,Preventive,ICD-744,Diagnosis_A_9,4831,90
10,Physical Therapy Type 3,Emergency,ICD-691,Diagnosis_B_10,3937,120
11,Tooth Extraction Type 2,Diagnostic,ICD-636,Diagnosis_E_11,470,60
12,Endoscopy Type 3,Diagnostic,ICD-132,Diagnosis_E_12,1260,120
13,Chemotherapy Type 1,Therapy,ICD-421,Diagnosis_D_13,950,30
14,Allergy Test Type 1,Therapy,ICD-613,Diagnosis_E_14,3432,60
15,Allergy Test Type 1,Emergency,ICD-312,Diagnosis_E_15,560,45
16,Cataract Surgery Type 2,Surgical,ICD-277,Diagnosis_D_16,3968,90
17,Root Canal Type 2,Preventive,ICD-890,Diagnosis_C_17,2854,90
18,Chemotherapy Type 1,Surgical,ICD-671,Diagnosis_C_18,4016,30
19,Echocardiogram Type 2,Preventive,ICD-312,Diagnosis_D_19,2488,45
20,Knee Surgery Type 3,Preventive,ICD-380,Diagnosis_C_20,3980,15
21,Prenatal Care Type 3,Therapy,ICD-504,Diagnosis_C_21,4747,30
22,MRI Scan Type 2,Preventive,ICD-180,Diagnosis_C_22,2429,60
23,Stress Test Type 2,Diagnostic,ICD-306,Diagnosis_E_23,2150,45
24,Allergy Test Type 2,Diagnostic,ICD-211,Diagnosis_E_24,4654,120
25,Radiation Type 1,Consultation,ICD-785,Diagnosis_E_25,4857,30
26,MRI Scan Type 1,Therapy,ICD-438,Diagnosis_D_26,1957,15
27,X-Ray Type 3,Diagnostic,ICD-516,Diagnosis_D_27,1176,60
28,Echocardiogram Type 2,Surgical,ICD-392,Diagnosis_A_28,1683,15
29,Radiation Type 3,Preventive,ICD-840,Diagnosis_A_29,4753,30
30,Kidney Transplant Type 1,Consultation,ICD-956,Diagnosis_D_30,3473,60
31,Liver Transplant Type 3,Surgical,ICD-997,Diagnosis_A_31,1576,15
32,Tooth Extraction Type 3,Consultation,ICD-443,Diagnosis_C_32,2494,60
33,Cataract Surgery Type 2,Diagnostic,ICD-971,Diagnosis_E_33,4500,60
34,Chemotherapy Type 1,Surgical,ICD-266,Diagnosis_D_34,2285,120
35,Allergy Test Type 1,Consultation,ICD-854,Diagnosis_C_35,2157,45
36,Prenatal Care Type 1,Diagnostic,ICD-725,Diagnosis_D_36,4701,60
37,Speech Therapy Type 1,Therapy,ICD-785,Diagnosis_A_37,4271,30
38,Gallbladder Removal Type 2,Diagnostic,ICD-106,Diagnosis_C_38,1201,60
39,Appendectomy Type 2,Surgical,ICD-409,Diagnosis_E_39,1979,120
40,X-Ray Type 2,Preventive,ICD-468,Diagnosis_B_40,4743,15
41,Appendectomy Type 2,Diagnostic,ICD-515,Diagnosis_E_41,1018,120
42,Allergy Test Type 1,Preventive,ICD-402,Diagnosis_C_42,2597,90
43,Radiation Type 1,Therapy,ICD-256,Diagnosis_D_43,1859,120
44,Angioplasty Type 3,Emergency,ICD-582,Diagnosis_E_44,3110,120
45,Echocardiogram Type 1,Preventive,ICD-872,Diagnosis_E_45,1839,15
46,Appendectomy Type 3,Preventive,ICD-470,Diagnosis_A_46,4354,90
47,MRI Scan Type 3,Emergency,ICD-307,Diagnosis_E_47,969,90
48,Biopsy Type 2,Emergency,ICD-552,Diagnosis_A_48,1277,120
49,Allergy Test Type 3,Therapy,ICD-193,Diagnosis_E_49,1732,60
50,Appendectomy Type 1,Emergency,ICD-525,Diagnosis_D_50,505,90
51,Root Canal Type 2,Preventive,ICD-926,Diagnosis_C_51,522,120
52,Heart Bypass Type 2,Consultation,ICD-863,Diagnosis_B_52,228,90
53,MRI Scan Type 2,Surgical,ICD-817,Diagnosis_A_53,648,90
54,Liver Transplant Type 1,Therapy,ICD-132,Diagnosis_C_54,543,60
55,Echocardiogram Type 1,Preventive,ICD-846,Diagnosis_D_55,1524,45
56,Appendectomy Type 2,Therapy,ICD-182,Diagnosis_E_56,3183,30
57,Blood Test Type 1,Emergency,ICD-502,Diagnosis_E_57,2898,30
58,Endoscopy Type 1,Consultation,ICD-405,Diagnosis_D_58,1874,120
59,Angioplasty Type 3,Therapy,ICD-943,Diagnosis_B_59,4510,30
60,Knee Surgery Type 1,Surgical,ICD-293,Diagnosis_A_60,3823,15
61,Vaccination Type 1,Diagnostic,ICD-311,Diagnosis_A_61,3484,15
62,MRI Scan Type 2,Emergency,ICD-788,Diagnosis_A_62,4915,30
63,Heart Bypass Type 2,Diagnostic,ICD-652,Diagnosis_B_63,412,15
64,Cataract Surgery Type 2,Diagnostic,ICD-935,Diagnosis_E_64,1197,45
65,Vaccination Type 3,Surgical,ICD-342,Diagnosis_C_65,4780,30
66,Radiation Type 2,Surgical,ICD-381,Diagnosis_A_66,4320,90
67,Kidney Transplant Type 3,Diagnostic,ICD-741,Diagnosis_D_67,4896,90
68,MRI Scan Type 2,Preventive,ICD-787,Diagnosis_D_68,4110,90
